type,category,short,long,user,logo,link,description
,"Conservation status, threats, and protected areas",AZE,Alliance for Zero Extinction Sites,hagen,,https://zeroextinction.org/,Sites containing the last or overwhelmingly important populations of highly threatened species.
,"Conservation status, threats, and protected areas",GISD,Global Invasive Species Database,hagen,issg.png,http://www.iucngisd.org/gisd/,"Species profiles on invasive organisms, impacts, pathways, distributions and management."
,"Conservation status, threats, and protected areas",GRIIS,Global Register of Introduced and Invasive Species,hagen,,https://www.gbif.org/publisher/cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Country-level validated checklists of introduced and invasive alien species.
,"Conservation status, threats, and protected areas",RLE,IUCN Red List of Ecosystems,hagen,,https://iucnrle.org/,Risk-assessment framework and database for ecosystem collapse.
,"Conservation status, threats, and protected areas",IUCN Red List,IUCN Red List of Threatened Species,hagen,,https://www.iucnredlist.org/,"Global extinction-risk assessment infrastructure with taxonomy, ranges, habitats, threats and actions."
,"Conservation status, threats, and protected areas",Natura 2000,Natura 2000,hagen,natura2000.png,https://www.eea.europa.eu/data-and-maps/data/natura-14,Official spatial database of sites protected under the EU Birds and Habitats Directives.
,"Conservation status, threats, and protected areas",WDPA,Protected Planet / World Database on Protected Areas,hagen,,https://www.protectedplanet.net/en/thematic-areas/wdpa,Official global database of protected areas reported by governments and other authorities.
,"Conservation status, threats, and protected areas",,Species+,hagen,,https://speciesplus.net/,"Authoritative portal combining CITES, CMS and related legal listings and controls."
,"Conservation status, threats, and protected areas",WDKBA,World Database of Key Biodiversity Areas,hagen,,https://www.keybiodiversityareas.org/,Global inventory of sites contributing significantly to biodiversity persistence under the KBA Standard.
,"Conservation status, threats, and protected areas",WD-OECM,World Database on OECMs,hagen,,https://www.protectedplanet.net/en/thematic-areas/oecms,Global database of recognised other effective area-based conservation measures outside formal protected areas.
,Disturbance,GFA,Global Fire Atlas,hagen,,,"Event-level atlas tracking individual fire spread, duration, speed and size."
,Disturbance,GFED,Global Fire Emissions Database,hagen,,https://www.globalfiredata.org/,"Global burned-area, fire-emission and carbon products integrating satellites and biogeochemical modelling."
,Disturbance,GFW,Global Fishing Watch,hagen,,https://globalfishingwatch.org/datasets-and-code/,Global vessel-activity and fishing-effort data from satellite tracking and machine-learning classification.
,Disturbance,HFP,Global Human Footprint,hagen,,https://datadryad.org/dataset/doi:10.5061/dryad.ttdz08m1f,"Composite index of cumulative terrestrial human pressure from settlement, population, infrastructure, agriculture and access."
,Disturbance,gHM,Global Human Modification,hagen,,https://gee-community-catalog.org/projects/ghm-v3/,Continuous global index estimating terrestrial landscape modification intensity.
,Disturbance,GRIP,Global Roads Inventory Project,hagen,,https://www.globio.info/download-grip-dataset,Harmonised global road-network dataset from national and global sources.
,Disturbance,MCD64A1,MODIS Burned Area,hagen,,https://lpdaac.usgs.gov/products/mcd64a1v061/,Monthly global burned-area product based on MODIS reflectance and active fires.
,Disturbance,WorldPop,WorldPop,kocsis,worldpop.png,https://www.worldpop.org/,High-resolution gridded population estimates and demographic products.
,Earth-system and biodiversity model outputs,BES-SIM,Biodiversity and Ecosystem Services Scenario-based Intercomparison of Models,hagen,,https://bes-sim.net/,Model intercomparison projecting biodiversity and ecosystem services under shared land-use and climate scenarios.
,Earth-system and biodiversity model outputs,CMIP6,Coupled Model Intercomparison Project Phase 6,hagen,,https://pcmdi.llnl.gov/CMIP6/,Coordinated archive of global climate and Earth-system model simulations under common experiments and scenarios.
,Earth-system and biodiversity model outputs,eBird S&T,eBird Status and Trends,hagen,,https://science.ebird.org/status-and-trends,"Machine-learning products transforming eBird checklists into weekly abundance, distributions and trends."
,Earth-system and biodiversity model outputs,,GLOBIO,hagen,globio.png,https://www.globio.info/,Global biodiversity model estimating mean species abundance and ecosystem impacts from human pressures.
,Earth-system and biodiversity model outputs,ISIMIP,Inter-Sectoral Impact Model Intercomparison Project,hagen,,https://data.isimip.org/,Framework and repository for harmonised climate-impact simulations across biodiversity and other sectors.
,Food webs and ecological networks,trophiCH,trophiCH,hagen,,https://www.nature.com/articles/s41597-024-04304-x,Species-level Swiss metaweb integrating trophic interactions across multiple organism groups.
,Food webs and ecological networks,Web of Life,Web of Life Ecological Networks Database,hagen,,https://www.web-of-life.es/,"Curated portal of ecological networks including pollination, seed dispersal, host-parasite and food webs."
,Food webs and ecological networks,Mangal,Mangal Ecological Interactions Database,kocsis,,https://mangal.io/,Database and data standard for georeferenced ecological interaction networks with study context.
,Functional diversity data,GIFT,Global Inventory of Floras and Traits,hagen,,https://gift.uni-goettingen.de/,"Database of regional plant checklists linked to geography, environment and species traits."
,Functional diversity data,OTN,Open Traits Network dataset registry,hagen,,https://opentraits.org/datasets.html,"Community registry of trait datasets, standards and tools across taxa."
,Functional diversity data,TraitBank,TraitBank,hagen,,https://eol.org/traitbank,Encyclopedia of Life infrastructure aggregating structured trait and ecological association statements.
portal,General Repository,Zenodo,Zenodo,kocsis,zenodo.svg,https://zenodo.org/,General scientific data repository
portal,General Repository,figshare,figshare,kocsis,figshare.png,https://figshare.com/,General scientific data repository
portal,General Repository,Dryad,Dryad,kocsis,dryad.png,https://datadryad.org/,General scientific data repository
,Genetic sequences,BOLD,Barcode of Life Data System,hagen,,https://www.boldsystems.org/,"Platform integrating DNA barcode sequences, specimen images, taxonomy and collection locality data."
,Genetic sequences,ENA,European Nucleotide Archive,hagen,,https://www.ebi.ac.uk/ena/browser/home,"European archive for nucleotide sequences, raw reads, assemblies and sample metadata within INSDC."
,Genetic sequences,MGnify,MGnify,hagen,,https://www.ebi.ac.uk/metagenomics/,EMBL-EBI platform that analyses microbiome sequence datasets and provides standardised taxonomic and functional outputs.
,Genetic sequences,MIDORI2,MIDORI2,hagen,,https://www.reference-midori.info/,"Curated reference sequences for 15 eukaryotic mitochondrial genes, designed for taxonomic assignment of metabarcoding data."
,Genetic sequences,PR2,Protist Ribosomal Reference database,hagen,,https://pr2-database.org/,Curated 18S rRNA reference database focused on protists and other microbial eukaryotes.
,Genetic sequences,SRA,Sequence Read Archive,hagen,,https://www.ncbi.nlm.nih.gov/sra,"Archive of raw high-throughput sequencing reads linked to studies, experiments and samples."
,Genetic sequences,SILVA,SILVA ribosomal RNA database,hagen,,https://www.arb-silva.de/,"Quality-checked, aligned small- and large-subunit ribosomal RNA sequence reference datasets across cellular life."
,Genetic sequences,UNITE,UNITE,hagen,,https://unite.ut.ee/,Curated fungal ITS reference database organised into species hypotheses with persistent identifiers.
,Genetic sequences,GenBank,GenBank,kocsis,,https://www.ncbi.nlm.nih.gov/genbank/,Annotated public nucleotide sequence archive and US member of the International Nucleotide Sequence Database Collaboration.
,Genetic-distance datasets,MacroPopGen,MacroPopGen,hagen,,https://www.nature.com/articles/s41597-021-00894-8,Georeferenced compilation of vertebrate population-genetic differentiation studies across the Americas.
,"Host-parasite, plant-pollinator, predator-prey, and symbiotic interaction",DoPI,Database of Pollinator Interactions,hagen,,https://globalbioticinteractions.org/,Compilation of plant-pollinator interactions from published and unpublished studies.
,"Host-parasite, plant-pollinator, predator-prey, and symbiotic interaction",Global bee–plant,Global bee–plant interaction dataset,hagen,,https://www.nature.com/articles/s41597-026-06620-4,"Global synthesis of documented bee–plant interactions assembled from databases, literature and collections."
,"Host-parasite, plant-pollinator, predator-prey, and symbiotic interaction",NHM HPD,NHM Host-Parasite Database,hagen,,https://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/,"Curated host-parasite associations, particularly helminths and vertebrate hosts, compiled from taxonomic literature."
,Hydrology and drainage networks,GLWD,Global Lakes and Wetlands Database,hagen,,https://www.worldwildlife.org/pages/global-lakes-and-wetlands-database,"Global inventory of lakes, reservoirs, rivers and wetlands assembled from multiple maps."
,Hydrology and drainage networks,GRanD,Global Reservoir and Dam Database,hagen,,https://www.globaldamwatch.org/grand/,Georeferenced global database of large dams and reservoirs with attributes.
,Hydrology and drainage networks,GRDC,Global Runoff Data Centre,hagen,,https://www.bafg.de/GRDC/EN/Home/homepage_node.html,International archive of river-discharge observations supplied by national hydrological services.
,Hydrology and drainage networks,,HydroATLAS,hagen,,https://www.hydrosheds.org/hydroatlas,"Compendium of hydro-environmental attributes for sub-basins, river reaches and lakes."
,Hydrology and drainage networks,,HydroBASINS,hagen,,https://www.hydrosheds.org/products/hydrobasins,Nested global watershed and sub-basin polygons within the HydroSHEDS framework.
,Hydrology and drainage networks,,HydroLAKES,hagen,,https://www.hydrosheds.org/products/hydrolakes,Global polygon inventory of lakes and reservoirs with geometric and hydrological attributes.
,Hydrology and drainage networks,,HydroSHEDS,hagen,,https://www.hydrosheds.org/products,"Global hydrologically conditioned elevation, flow direction and accumulation data family."
,Hydrology and drainage networks,GSW,JRC Global Surface Water,hagen,,https://global-surface-water.appspot.com/,"Landsat-derived maps of surface-water occurrence, seasonality and long-term change."
,Hydrology and drainage networks,,MERIT Hydro,hagen,,http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro/,"High-resolution global flow direction, accumulation, river width and hydrography."
,Integrated multi-source biodiversity data products,,CESTES,hagen,,https://www.nature.com/articles/s41597-019-0344-7,"Global metacommunity database packaging community composition, traits, environmental variables and spatial coordinates."
,Integrated multi-source biodiversity data products,DGS-BCM,Database of Global Data Sources for Biodiversity Conservation and Monitoring,hagen,,https://www.nature.com/articles/s41597-023-01958-7,Structured catalogue of datasets relevant to biodiversity conservation and monitoring.
,Integrated multi-source biodiversity data products,,DataONE,hagen,,https://search.dataone.org/data,"Federated discovery and preservation infrastructure for ecological, environmental and Earth-science datasets."
,Integrated multi-source biodiversity data products,,EarthEnv,hagen,,https://www.earthenv.org/,Collection of global environmental layers prepared for biodiversity and ecosystem modelling.
,Integrated multi-source biodiversity data products,Global Biodiversity Portal,EMBL-EBI Global Biodiversity Portal,hagen,,https://www.ebi.ac.uk/biodiversity/,Portal connecting biodiversity occurrence and taxonomic knowledge with molecular and genomic resources at EMBL-EBI.
,Integrated multi-source biodiversity data products,EDI,Environmental Data Initiative,hagen,,https://portal.edirepository.org/nis/home.jsp,"Curated repository and data portal for ecological and environmental datasets, with strong US LTER participation."
,Integrated multi-source biodiversity data products,GBIF cubes,GBIF Occurrence Cubes,hagen,,https://www.gbif.org/news/5PapgYCsbHPe7UWmEQTc5a/better-than-the-original-new-sql-based-service-enables-download-of-occurrence-data-cubes,"Server-side SQL-derived aggregated occurrence cubes with user-selected taxonomic, spatial and temporal dimensions."
,Integrated multi-source biodiversity data products,LifeWatch,LifeWatch ERIC,hagen,,https://www.lifewatch.eu/,"European distributed research infrastructure providing virtual laboratories, data services and biodiversity observatories."
,Integrated multi-source biodiversity data products,,palaeoverse,hagen,,https://palaeoverse.org/,"Open R ecosystem, teaching resources and curated datasets for palaeobiological analysis."
,Integrated multi-source biodiversity data products,UNBL,UN Biodiversity Lab,hagen,,https://unbiodiversitylab.org/,"Global geospatial platform combining biodiversity, conservation, climate and sustainable-development layers for national planning."
,"Land cover, vegetation, habitats, and biomes",,Dynamic World,hagen,,https://dynamicworld.app/,Near-real-time probabilistic 10 m global land-cover product from Sentinel-2.
,"Land cover, vegetation, habitats, and biomes",WorldCover,ESA WorldCover,hagen,,https://esa-worldcover.org/en,Global 10 m land-cover maps for 2020 and 2021 from Sentinel-1 and Sentinel-2.
,"Land cover, vegetation, habitats, and biomes",GFC/Hansen,Global Forest Change,hagen,,https://glad.earthengine.app/view/global-forest-change,Global 30 m tree cover and annual forest-loss products derived from Landsat.
,"Land cover, vegetation, habitats, and biomes",GFMT,Global Map of Forest Types,hagen,,https://data.apps.fao.org/catalog/dataset/global-map-of-forest-types-2020,"Global map distinguishing naturally regenerating forests, planted forests and plantation types."
,"Land cover, vegetation, habitats, and biomes",HYDE,History Database of the Global Environment,hagen,,https://www.pbl.nl/en/image/research-projects/hyde,"Long-term gridded reconstructions of population, cropland, grazing and built-up land."
,"Land cover, vegetation, habitats, and biomes",GET,IUCN Global Ecosystem Typology,hagen,,https://global-ecosystems.org/,"Hierarchical classification of terrestrial, freshwater, marine and subterranean ecosystem types."
,"Land cover, vegetation, habitats, and biomes",LUH2,Land-Use Harmonization 2,hagen,,https://luh.umd.edu/,Historical and future global gridded land-use states and transitions harmonised for CMIP6.
,"Land cover, vegetation, habitats, and biomes",,MapBiomas,hagen,,https://mapbiomas.org/,Collaborative annual land-cover and land-use mapping using regionally trained classifications.
,"Land cover, vegetation, habitats, and biomes",MCD12Q1,MODIS Land Cover Type,hagen,,https://lpdaac.usgs.gov/products/mcd12q1v061/,Annual global land-cover classification under multiple schemes.
,"Land cover, vegetation, habitats, and biomes",RESOLVE ecoregions,RESOLVE Terrestrial Ecoregions,hagen,,https://ecoregions.appspot.com/,Updated global terrestrial ecoregion polygons and biome classification.
,Modern climate and environmental data,BEST,Berkeley Earth Surface Temperature,hagen,,https://berkeleyearth.org/data/,Global land and ocean temperature analysis with station and gridded products.
,Modern climate and environmental data,ERA5-Land,ERA5-Land,hagen,,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,High-resolution land reanalysis generated by replaying ERA5 atmospheric forcing.
,Modern climate and environmental data,GHCN-D,Global Historical Climatology Network Daily,hagen,,https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily,Quality-controlled global archive of daily weather-station observations.
,Modern climate and environmental data,TerraClimate,TerraClimate,hagen,,https://www.climatologylab.org/terraclimate.html,Monthly global terrestrial climate and water-balance dataset combining spatial climatology with temporal anomalies.
,Modern climate and environmental data,IPCC Atlas,IPCC WGI Interactive Atlas,kocsis,ipcc_atlas.png,https://interactive-atlas.ipcc.ch/,
,Modern climate and environmental data,ESGF,Earth System Grid Federation,kocsis,earthbyte.png,https://esgf.github.io/,Primary access point of climate simulation data of the CMIP project.
,Modern climate and environmental data,CHELSA,CHELSA,kocsis,chelsa_logo.gif,https://chelsa-climate.org/,"High-resolution terrain-informed global land climate products spanning climatologies, histories and projections."
,Modern climate and environmental data,CRU TS,CRU Time-Series,kocsis,,https://crudata.uea.ac.uk/cru/data/hrg/,Monthly station-based gridded global land-climate record extending from 1901.
,Modern climate and environmental data,HadISST,Hadley Centre Sea Ice and Sea Surface Temperature data set,kocsis,hadisst.png,https://www.metoffice.gov.uk/hadobs/hadisst/,Monthly sea surface temperature and ice cover.
,Modern climate and environmental data,WorldClim,WorldClim,kocsis,worldclim.png,https://www.worldclim.org/,Global gridded climate surfaces and downscaled future projections widely used in ecology.
,Modern Geography,ArcticDEM,ArcticDEM,hagen,,https://www.pgc.umn.edu/data/arcticdem/,"High-resolution, time-stamped digital surface models and mosaics for the Arctic."
,Modern Geography,COP-DEM,Copernicus DEM,hagen,,https://dataspace.copernicus.eu/explore-data/data-collections/copernicus-contributing-missions/collections-description/COP-DEM,Global digital surface model derived from edited WorldDEM data.
,Modern Geography,,FABDEM,hagen,,https://data.bris.ac.uk/data/dataset/s5hqmjcdj8yo2ibzi9b4ew3sn,Global 30 m elevation model derived by removing estimated forest and building height biases from Copernicus DEM.
,Modern Geography,,MERIT DEM,hagen,,http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_DEM/,"Global elevation model corrected for absolute bias, striping, speckle and tree-height bias."
,Modern Geography,,OpenTopography,hagen,,https://opentopography.org/,"Portal providing access, subsetting and processing for global and regional elevation datasets, including lidar and satellite DEMs."
,Modern Geography,PaleoPhys,Paleo-Physiography Project,hagen,,https://www.hydroshare.org/resource/bbf65a3ba448456b8a7f2e2bb5e59733/,"High-resolution global palaeo-physiography, drainage and landscape-evolution outputs."
,Modern Geography,REMA,Reference Elevation Model of Antarctica,hagen,,https://www.pgc.umn.edu/data/rema/,"Continental high-resolution Antarctic surface-elevation mosaics, strips and time-dependent products."
,Modern Geography,SRTM,Shuttle Radar Topography Mission,hagen,,https://www.earthdata.nasa.gov/data/instruments/srtm,Near-global radar-derived digital elevation model.
,Modern Geography,,EMODnet Bathymetry,hagen,,https://emodnet.ec.europa.eu/en/bathymetry,"Harmonised bathymetric digital terrain model for European seas, with source metadata and higher-resolution local products."
,Modern Geography,GMRT,Global Multi-Resolution Topography,hagen,,https://www.gmrt.org/,Multi-resolution global synthesis combining curated ship-based multibeam bathymetry with satellite-derived and terrestrial elevation data.
,Modern Geography,,SRTM15+,hagen,,https://topex.ucsd.edu/WWW_html/srtm15_plus.html,"Global 15 arc-second grid combining predicted seafloor topography, ship soundings and terrestrial elevation."
,Modern Geography,Straume,Straume et al. Cenozoic palaeobathymetry,hagen,,https://www.earthbyte.org/paleobathymetry-models/,One-million-year global Cenozoic palaeobathymetry and topography reconstruction.
,Modern Geography,Natural Earth,Natural Earth,kocsis,naturalearth.png,https://www.naturalearthdata.com/,"Natural Earth title= Free vector and raster map data at 1:10m, 1:50m, and 1:110m scales"
,Modern Geography,ETOPO,ETOPO Global Relief Model,kocsis,etopo.jpg,https://www.ncei.noaa.gov/products/etopo-global-relief-model,"The ETOPO Global Relief Model integrates topography, bathymetry, and shoreline data from regional and global datasets to enable comprehensive, high resolution renderings of geophysical characteristics of the earth’s surface."
,Modern Geography,GEBCO,GEBCO Grid,kocsis,,https://www.gebco.net/data-products/gridded-bathymetry-data,Global ocean and land terrain grid from the General Bathymetric Chart of the Oceans.
portal,Morphology,Sketchfab,Sketchfab,kocsis,,https://sketchfab.com/,Repository for 3D Models and Data
,Morphology,MorphoSource,MorphoSource,kocsis,morphosource-33296362.png,https://www.morphosource.org/,"Find, view, and download 3D data representing the world's natural history, cultural heritage, and scientific collections."
,Morphology,MorphoBank,MorphoBank,kocsis,morphobank.png,https://www.morphobank.org/,"Repository and collaborative platform for morphological character matrices, specimen images and phylogenetic projects."
,Occurrence records,ALA,Atlas of Living Australia,hagen,,https://www.ala.org.au/,"National infrastructure integrating Australian occurrences, collections, citizen science and spatial layers."
,Occurrence records,BIEN,Botanical Information and Ecology Network,hagen,,https://bien.nceas.ucsb.edu/bien/,"Versioned plant-data infrastructure integrating occurrences, vegetation plots, taxonomy and trait observations."
,Occurrence records,IBP,India Biodiversity Portal,hagen,,https://indiabiodiversity.org/,"Participatory Indian biodiversity portal integrating species pages, observations, maps and citizen-science groups."
,Occurrence records,NBN Atlas,NBN Atlas,hagen,,https://nbnatlas.org/,"United Kingdom biodiversity portal integrating occurrence records, species information, datasets and spatial layers."
,Occurrence records,biodiversity.aq,SCAR Antarctic Biodiversity Portal,hagen,,https://www.biodiversity.aq/,"Antarctic biodiversity portal providing occurrence, environmental and data-discovery services through the Scientific Committee on Antarctic Research."
,Occurrence records,SiB Colombia,SiB Colombia,hagen,,https://sibcolombia.net/,Colombia's national biodiversity data network and GBIF node.
,Occurrence records,SANBI-GBIF,South African National Biodiversity Institute GBIF Node,hagen,,https://www.sanbi-gbif.org/,National portal and mobilisation network for South African biodiversity records.
,Occurrence records,speciesLink,speciesLink Network,hagen,,https://specieslink.net/,"Brazilian network integrating natural-history collections, observations and images."
,Occurrence records,GBDB,Geobiodiversity Database,kocsis,gbdb.png,http://www.geobiodiversity.com/,Fossil occurrence and stratigraphic-section database with particularly strong Chinese and East Asian coverage.
,Occurrence records,Neotoma,Neotoma Paleoecology Database,kocsis,packrat-logo.svg,https://www.neotomadb.org/,"Community-curated multiproxy palaeoecological database organised around sites, datasets, samples, chronology and observations."
,Occurrence records,NSB,Neptune Sandbox Berlin,kocsis,neptunedb.png,https://zenodo.org/records/10063218,Marine planktonic microfossil occurrence and deep-sea stratigraphy database built from ocean-drilling cores.
,Occurrence records,NOW,New and Old Worlds Fossil Mammal Database,kocsis,now.png,https://paleobiodb.org/,"Database of Cenozoic land-mammal localities, faunal lists, taxonomy and selected ecological or morphological attributes."
,Occurrence records,PBDB,The Paleobiology Database,kocsis,paleobiodb.png,https://www.paleo-reefs.pal.uni-erlangen.de/,"Community-curated global database of fossil occurrences, collections, taxonomy, stratigraphy, environments and references."
,Occurrence records,PARED,PaleoReefs Database,kocsis,paleoreefs.png,,"Standardised compilation of Phanerozoic reef sites with geological, palaeogeographic and biological attributes."
,Occurrence records,PBot,Integrative Paleobotany Portal,kocsis,pbot.png,https://pbot.paleobiodb.org/,
,Occurrence records,Triton,The Triton Database,kocsis,Triton.png,https://springernature.figshare.com/articles/dataset/Metadata_record_for_Triton_a_new_species-level_database_of_Cenozoic_planktonic_foraminiferal_occurrences/14655564,
,Occurrence records,Sepkoski,Sepkoski's Fossil Marine Animal Genera Compendium,kocsis,,https://sepkoski.palaeoverse.org/,Static genus-level compilation of first and last stratigraphic appearances for marine animal genera.
,Occurrence records,eBird,eBird,kocsis,ebird.svg,https://ebird.org/data/download,"Global citizen-science bird observation programme based on complete checklists, effort metadata and expert review."
,Occurrence records,GBIF,Global Biodiversity Information Facility,kocsis,gbif.jpg,https://www.gbif.org/,"International infrastructure aggregating specimens, observations, sampling events and checklists under biodiversity data standards."
,Occurrence records,iNaturalist,iNaturalist,kocsis,inaturalist.svg,https://www.inaturalist.org/observations/export,"Crowdsourced georeferenced observations with photographs, sounds and community identifications."
,Occurrence records,iDigBio,Integrated Digitized Biocollections,kocsis,idigbio_logo_0.png,https://www.idigbio.org/portal/search,"US national infrastructure for digitised natural-history specimens, media and collection metadata."
,Occurrence records,OBIS,Ocean Biodiversity Information System,kocsis,obis.jpg,https://obis.org/,"Global marine biodiversity infrastructure with marine-specific event, depth, measurement and regional-node support."
,Occurrence records,VertNet,VertNet,kocsis,VertNet_logo.svg,https://vertnet.org/,Federated vertebrate specimen and observation records from natural-history collections.
,Paleoclimate reconstructions,CenCO2PIP,CenCO2PIP,hagen,,https://www.cenco2pip.com/,Community-vetted Cenozoic atmospheric CO2 proxy compilation and reconstruction.
,Paleoclimate reconstructions,CENOGRID,CENOGRID,hagen,,https://doi.pangaea.de/10.1594/PANGAEA.917503,Astronomically tuned global reference composite of benthic foraminiferal carbon and oxygen isotopes.
,Paleoclimate reconstructions,DoD2k,Database of Databases for Common Era Paleoclimate,hagen,,https://lipdverse.org/,Merged and harmonised database of curated Common Era palaeoclimate compilations.
,Paleoclimate reconstructions,NOAA Paleo,NOAA World Data Service for Paleoclimatology,hagen,,https://www.ncei.noaa.gov/products/paleoclimatology,General archive for palaeoclimate proxy records and reconstructions from natural archives.
,Paleoclimate reconstructions,PALEOTEMP,Scotese Phanerozoic palaeotemperature curve,hagen,,https://www.scotese.com/climate.htm,Global mean surface-temperature curve combining oxygen isotopes with lithological and palaeobiological indicators.
